"link","influence","cumsum","rank","color","run","MG","H","model","simname"
"d3.c3",3.55815809887399,25.35,6,"red","Fall","C10","1","null","H1.sim.null"
"d3.f2",3.8037692151279,21.79,5,"red","Fall","C10","1","null","H1.sim.null"
"a1.a1",3.81616019579746,17.99,4,"black","Fall","C10","1","null","H1.sim.null"
"f3.g3",4.49528823475115,14.17,3,"green","Fall","C10","1","null","H1.sim.null"
"f3.f3",4.51045763333606,9.68,2,"green","Fall","C10","1","null","H1.sim.null"
"e2.e2",5.16478465447382,5.16,1,"green","Fall","C10","1","null","H1.sim.null"
"b1.e1",3.56164778324677,28.36,6,"green","Fall","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e1.f1",3.76384413163834,24.8,5,"green","Fall","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b1.c3",4.01849706600109,21.04,4,"pink","Fall","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.c3",4.48076553195078,17.02,3,"red","Fall","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e1.e1",6.1263994720059,12.54,2,"green","Fall","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e2.e2",6.41077112257304,6.41,1,"green","Fall","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"g1.g1",2.47984359043978,25.36,8,"green","Fall","C10","8","null","H8.sim.null"
"f3.g3",2.57025185489311,22.88,7,"green","Fall","C10","8","null","H8.sim.null"
"f1.g3",2.92351034046089,20.31,6,"green","Fall","C10","8","null","H8.sim.null"
"a1.d2",3.01489771032971,17.39,5,"black","Fall","C10","8","null","H8.sim.null"
"f3.f3",3.16371156804337,14.37,4,"green","Fall","C10","8","null","H8.sim.null"
"a1.b1",3.34581261637434,11.21,3,"black","Fall","C10","8","null","H8.sim.null"
"f1.g1",3.37601695559397,7.86,2,"green","Fall","C10","8","null","H8.sim.null"
"a1.d1",4.48857450631733,4.49,1,"black","Fall","C10","8","null","H8.sim.null"
"d1.d1",2.2187230519134,26.31,9,"red","Fall","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"a1.b1",2.36596738548224,24.09,8,"black","Fall","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"c3.c3",2.38760452694153,21.73,7,"pink","Fall","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"b1.c3",2.48303757340079,19.34,6,"pink","Fall","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"a1.b2",2.66448448071382,16.86,5,"black","Fall","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"f3.g3",2.78516800445446,14.19,4,"green","Fall","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"a1.d2",2.99160029101716,11.41,3,"black","Fall","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"a1.d1",3.94204032937578,8.41,2,"black","Fall","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"f3.f3",4.47280860947352,4.47,1,"green","Fall","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"b1.b1",2.20278342113253,25.44,9,"pink","Fall","C10","9","null","H9.sim.null"
"f1.f1",2.21687681335509,23.24,8,"green","Fall","C10","9","null","H9.sim.null"
"g1.g1",2.2335826597103,21.02,7,"green","Fall","C10","9","null","H9.sim.null"
"g1.d2",2.24565015934454,18.79,6,"red","Fall","C10","9","null","H9.sim.null"
"e1.f1",2.33653456725409,16.54,5,"green","Fall","C10","9","null","H9.sim.null"
