"link","influence","cumsum","rank","color","run","MG","H","model","simname"
"e2.f2",3.66929890913581,25.76,6,"green","Spring","C10","1","null","H1.sim.null"
"a1.b2",3.73394572992171,22.09,5,"black","Spring","C10","1","null","H1.sim.null"
"f1.f1",3.88527728522503,18.36,4,"green","Spring","C10","1","null","H1.sim.null"
"b2.e2",3.90326788863824,14.48,3,"green","Spring","C10","1","null","H1.sim.null"
"d3.f1",4.0507988246801,10.57,2,"red","Spring","C10","1","null","H1.sim.null"
"e2.e2",6.52123531449426,6.52,1,"green","Spring","C10","1","null","H1.sim.null"
"b1.e1",5.8063339023416,26.91,4,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e1.f1",6.0636268001213,21.1,3,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.f1",7.22143364678336,15.04,2,"red","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"e1.e1",7.8141393782698,7.81,1,"green","Spring","C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.g1",3.42452786127795,26.77,6,"red","Spring","C10","8","null","H8.sim.null"
"f2.f2",3.8477035672614,23.35,5,"green","Spring","C10","8","null","H8.sim.null"
"g3.d4",3.8573788906061,19.5,4,"red","Spring","C10","8","null","H8.sim.null"
"d1.d1",4.56065995844794,15.64,3,"red","Spring","C10","8","null","H8.sim.null"
"f1.g1",5.16823111229623,11.08,2,"green","Spring","C10","8","null","H8.sim.null"
"a1.d1",5.91396837022228,5.91,1,"black","Spring","C10","8","null","H8.sim.null"
"d1.f1",1.8506076228587,26.1,11,"red","Spring","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"a1.d1",1.96293142302575,24.25,10,"black","Spring","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"e1.e1",1.99583437809444,22.29,9,"green","Spring","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"d2.g1",2.01535437160136,20.29,8,"red","Spring","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"d4.g1",2.17890261471512,18.28,7,"red","Spring","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"a1.b1",2.20986585817779,16.1,6,"black","Spring","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"c3.d2",2.44565647521617,13.89,5,"pink","Spring","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"a1.d4",2.51640981675847,11.44,4,"black","Spring","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"a1.b2",2.75082859891488,8.92,3,"black","Spring","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"d2.d2",2.87853147295576,6.17,2,"red","Spring","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"a1.d2",3.29488846351154,3.29,1,"black","Spring","C10","8","g1.d2d4","H8.sim.g1.d2d4"
"f1.g3",2.78756089866235,26.04,7,"green","Spring","C10","9","null","H9.sim.null"
"e1.e1",2.90569386064904,23.25,6,"green","Spring","C10","9","null","H9.sim.null"
"d4.g1",3.02920827437955,20.35,5,"red","Spring","C10","9","null","H9.sim.null"
"e3.e3",3.13364537149449,17.32,4,"green","Spring","C10","9","null","H9.sim.null"
"e2.e2",4.00283888846517,14.18,3,"green","Spring","C10","9","null","H9.sim.null"
"g3.d4",4.09466934305309,10.18,2,"red","Spring","C10","9","null","H9.sim.null"
"f1.g1",6.08709344678609,6.09,1,"green","Spring","C10","9","null","H9.sim.null"
"b2.c2",2.23018586647493,25.92,10,"pink","Spring","C10","9","g1.d2d4","H9.sim.g1.d2d4"
"d4.d4",2.2384405143745,23.69,9,"red","Spring","C10","9","g1.d2d4","H9.sim.g1.d2d4"
"b2.b2",2.29795797163273,21.45,8,"pink","Spring","C10","9","g1.d2d4","H9.sim.g1.d2d4"
"d2.d2",2.38671216048668,19.15,7,"red","Spring","C10","9","g1.d2d4","H9.sim.g1.d2d4"
"d3.f1",2.50907870138774,16.76,6,"red","Spring","C10","9","g1.d2d4","H9.sim.g1.d2d4"
"a1.c2",2.55217832649861,14.25,5,"black","Spring","C10","9","g1.d2d4","H9.sim.g1.d2d4"
"e1.f1",2.57828338045084,11.7,4,"green","Spring","C10","9","g1.d2d4","H9.sim.g1.d2d4"
"d1.f1",2.88158270961261,9.12,3,"red","Spring","C10","9","g1.d2d4","H9.sim.g1.d2d4"
"c3.d2",2.93753278584308,6.24,2,"pink","Spring","C10","9","g1.d2d4","H9.sim.g1.d2d4"
"a1.d2",3.30328301858211,3.3,1,"black","Spring","C10","9","g1.d2d4","H9.sim.g1.d2d4"
"b1.e1",4.90878648964642,26.56,5,"green","Spring","C10","1","d2d4.b2c1","H1.sim.d2d4.b2c1"
"f1.f1",5.20562792184308,21.65,4,"green","Spring","C10","1","d2d4.b2c1","H1.sim.d2d4.b2c1"
"e1.f1",5.21784810064918,16.44,3,"green","Spring","C10","1","d2d4.b2c1","H1.sim.d2d4.b2c1"
"e1.e1",5.48879021753192,11.22,2,"green","Spring","C10","1","d2d4.b2c1","H1.sim.d2d4.b2c1"
"d3.f1",5.73431035446627,5.73,1,"red","Spring","C10","1","d2d4.b2c1","H1.sim.d2d4.b2c1"
"d3.b1",1.70640936266861,25.36,12,"red","Spring","C10","8","d2d4.b2c1","H8.sim.d2d4.b2c1"
"c3.d2",1.72718768738316,23.65,11,"pink","Spring","C10","8","d2d4.b2c1","H8.sim.d2d4.b2c1"
"d1.f1",1.76764205795958,21.93,10,"red","Spring","C10","8","d2d4.b2c1","H8.sim.d2d4.b2c1"
"a1.b1",1.76908903491778,20.16,9,"black","Spring","C10","8","d2d4.b2c1","H8.sim.d2d4.b2c1"
"d4.g1",1.98053716106897,18.39,8,"red","Spring","C10","8","d2d4.b2c1","H8.sim.d2d4.b2c1"
