"H","Model","Nmodels","PctAccept","SprCh","FallCh","Hdescription2","Hdescription"
"H1","Base",148734,67,-0.28532,0.41216,"H1: Prey","Prey"
"H2","Base",149947,67,0.10171,-0.23327,"H2: Condition","Condition"
"H3","Base",149136,67,0.00049,-0.04032,"H3: Competitors","Competitors"
"H4","Base",148809,67,-0.05862,-0.2765,"H4: JuvPredators","JuvPredators"
"H5","Base",149084,67,-0.23315,-0.3127,"H5: AllPredators","AllPredators"
"H6","Base",148767,67,0.12542,-0.59994,"H6: All","All"
"H1","Mammals",107494,93,0.11422,0.27724,"H1: Prey","Prey"
"H1","Birds",142207,70,-0.31586,0.45496,"H1: Prey","Prey"
"H1","FishPred1",147625,68,-0.40978,0.4926,"H1: Prey","Prey"
"H1","FishPred2",149530,67,-0.46854,0.40526,"H1: Prey","Prey"
"H1","AltPrey",149697,67,-0.27882,0.50015,"H1: Prey","Prey"
"H1","Base",148734,67,-0.28532,0.41216,"H1: Prey","Prey"
