"","link","influence","cumsum","rank","color","run","MG","H","model","simname"
"NCCspr.NCCspr","NCCspr.NCCspr",0.332515447229809,100,84,"pink","Fall",".C10","1","null","H1.sim.null"
"b3.b3","b3.b3",0.388860134748267,99.67,83,"pink","Fall",".C10","1","null","H1.sim.null"
"b1.e1","b1.e1",0.406929513346693,99.28,82,"green","Fall",".C10","1","null","H1.sim.null"
"c1.c1","c1.c1",0.430353179017319,98.87,81,"pink","Fall",".C10","1","null","H1.sim.null"
"c2.b2","c2.b2",0.432463074779246,98.44,80,"pink","Fall",".C10","1","null","H1.sim.null"
"a3.a3","a3.a3",0.461406240002256,98.01,79,"black","Fall",".C10","1","null","H1.sim.null"
"c1.d3","c1.d3",0.472163315562848,97.55,78,"pink","Fall",".C10","1","null","H1.sim.null"
"NCCfall.g3","NCCfall.g3",0.472681802773231,97.08,77,"pink","Fall",".C10","1","null","H1.sim.null"
"c1.b2","c1.b2",0.480345319628026,96.6,76,"pink","Fall",".C10","1","null","H1.sim.null"
"c3.b3","c3.b3",0.481412655408809,96.12,75,"pink","Fall",".C10","1","null","H1.sim.null"
"a3.b3","a3.b3",0.484476091426605,95.64,74,"black","Fall",".C10","1","null","H1.sim.null"
"d2.g1","d2.g1",0.485972689216142,95.16,73,"red","Fall",".C10","1","null","H1.sim.null"
"d1.f1","d1.f1",0.496852705264281,94.67,72,"red","Fall",".C10","1","null","H1.sim.null"
"NCCspr.g1","NCCspr.g1",0.500730174731157,94.17,71,"pink","Fall",".C10","1","null","H1.sim.null"
"g1.d2","g1.d2",0.501684203248756,93.67,70,"red","Fall",".C10","1","null","H1.sim.null"
"d2.f1","d2.f1",0.509976471602395,93.17,69,"red","Fall",".C10","1","null","H1.sim.null"
"d1.f2","d1.f2",0.517185746802201,92.66,68,"red","Fall",".C10","1","null","H1.sim.null"
"c2.c2","c2.c2",0.519826837175773,92.14,67,"pink","Fall",".C10","1","null","H1.sim.null"
"d1.c1","d1.c1",0.526544106785532,91.62,66,"red","Fall",".C10","1","null","H1.sim.null"
"b3.c2","b3.c2",0.535958498705998,91.1,65,"pink","Fall",".C10","1","null","H1.sim.null"
"NCCfall.NCCfall","NCCfall.NCCfall",0.539743720190945,90.56,64,"pink","Fall",".C10","1","null","H1.sim.null"
"d2.f3","d2.f3",0.542434798243287,90.02,63,"red","Fall",".C10","1","null","H1.sim.null"
"d2.g3","d2.g3",0.544428129902119,89.48,62,"red","Fall",".C10","1","null","H1.sim.null"
"d4.g3","d4.g3",0.551012534220342,88.94,61,"red","Fall",".C10","1","null","H1.sim.null"
"d1.f3","d1.f3",0.555369875206015,88.38,60,"red","Fall",".C10","1","null","H1.sim.null"
"c1.f1","c1.f1",0.563487276555582,87.83,59,"pink","Fall",".C10","1","null","H1.sim.null"
"g3.d2","g3.d2",0.577197502631202,87.27,58,"red","Fall",".C10","1","null","H1.sim.null"
"b2.b2","b2.b2",0.579467824021122,86.69,57,"pink","Fall",".C10","1","null","H1.sim.null"
"d4.g1","d4.g1",0.591362890800129,86.11,56,"red","Fall",".C10","1","null","H1.sim.null"
"g3.d4","g3.d4",0.597882408534226,85.52,55,"red","Fall",".C10","1","null","H1.sim.null"
"c3.b2","c3.b2",0.610311263182778,84.92,54,"pink","Fall",".C10","1","null","H1.sim.null"
"c1.d2","c1.d2",0.611531721549515,84.31,53,"pink","Fall",".C10","1","null","H1.sim.null"
"c1.f2","c1.f2",0.614952784098985,83.7,52,"pink","Fall",".C10","1","null","H1.sim.null"
"d2.d2","d2.d2",0.660590907828504,83.08,51,"red","Fall",".C10","1","null","H1.sim.null"
"c1.b3","c1.b3",0.671060089217632,82.42,50,"pink","Fall",".C10","1","null","H1.sim.null"
"d2.f2","d2.f2",0.679028769202803,81.75,49,"red","Fall",".C10","1","null","H1.sim.null"
"d2.c1","d2.c1",0.687477482111231,81.07,48,"red","Fall",".C10","1","null","H1.sim.null"
"e3.f3","e3.f3",0.695560797834899,80.38,47,"green","Fall",".C10","1","null","H1.sim.null"
"b3.c3","b3.c3",0.703489608621171,79.69,46,"pink","Fall",".C10","1","null","H1.sim.null"
"g1.g1","g1.g1",0.721737542687799,78.99,45,"green","Fall",".C10","1","null","H1.sim.null"
"e1.f1","e1.f1",0.734415321451281,78.26,44,"green","Fall",".C10","1","null","H1.sim.null"
"d3.f1","d3.f1",0.735330898971752,77.53,43,"red","Fall",".C10","1","null","H1.sim.null"
"c3.b1","c3.b1",0.739467165821564,76.79,42,"pink","Fall",".C10","1","null","H1.sim.null"
"f1.g1","f1.g1",0.742897444765941,76.05,41,"green","Fall",".C10","1","null","H1.sim.null"
"b3.e3","b3.e3",0.806264699902707,75.31,40,"green","Fall",".C10","1","null","H1.sim.null"
"c3.d3","c3.d3",0.809983025778227,74.51,39,"pink","Fall",".C10","1","null","H1.sim.null"
"b2.c2","b2.c2",0.813142070851252,73.7,38,"pink","Fall",".C10","1","null","H1.sim.null"
"b2.b3","b2.b3",0.815776764129617,72.88,37,"pink","Fall",".C10","1","null","H1.sim.null"
"d4.d4","d4.d4",0.821748369420277,72.07,36,"red","Fall",".C10","1","null","H1.sim.null"
"c2.b3","c2.b3",0.824525787852639,71.24,35,"pink","Fall",".C10","1","null","H1.sim.null"
"g1.d4","g1.d4",0.831212708966671,70.42,34,"red","Fall",".C10","1","null","H1.sim.null"
"c1.d1","c1.d1",0.834210596370565,69.59,33,"pink","Fall",".C10","1","null","H1.sim.null"
"b1.d3","b1.d3",0.844739626218784,68.75,32,"pink","Fall",".C10","1","null","H1.sim.null"
"c3.f3","c3.f3",0.891171912797658,67.91,31,"pink","Fall",".C10","1","null","H1.sim.null"
"e3.e3","e3.e3",0.924942244429987,67.02,30,"green","Fall",".C10","1","null","H1.sim.null"
"c3.c3","c3.c3",0.928678059715502,66.09,29,"pink","Fall",".C10","1","null","H1.sim.null"
"f1.g3","f1.g3",0.945189769806831,65.17,28,"green","Fall",".C10","1","null","H1.sim.null"
"d2.c3","d2.c3",0.95249702329634,64.22,27,"red","Fall",".C10","1","null","H1.sim.null"
"c3.d2","c3.d2",1.00487952714389,63.27,26,"pink","Fall",".C10","1","null","H1.sim.null"
"d1.d1","d1.d1",1.01981656181194,62.26,25,"red","Fall",".C10","1","null","H1.sim.null"
"b1.b1","b1.b1",1.02187246464407,61.24,24,"pink","Fall",".C10","1","null","H1.sim.null"
"f1.f1","f1.f1",1.09206582601266,60.22,23,"green","Fall",".C10","1","null","H1.sim.null"
"f2.g3","f2.g3",1.19961050990989,59.13,22,"green","Fall",".C10","1","null","H1.sim.null"
"f2.f2","f2.f2",1.2125962876964,57.93,21,"green","Fall",".C10","1","null","H1.sim.null"
"b2.b1","b2.b1",1.29478313132948,56.72,20,"pink","Fall",".C10","1","null","H1.sim.null"
"e1.e1","e1.e1",1.32954101621087,55.42,19,"green","Fall",".C10","1","null","H1.sim.null"
"g3.g3","g3.g3",1.35725287686432,54.09,18,"green","Fall",".C10","1","null","H1.sim.null"
"d3.d3","d3.d3",1.50300195273983,52.73,17,"red","Fall",".C10","1","null","H1.sim.null"
"d3.b1","d3.b1",1.5151000244151,51.23,16,"red","Fall",".C10","1","null","H1.sim.null"
"b2.c1","b2.c1",1.5196100416073,49.72,15,"pink","Fall",".C10","1","null","H1.sim.null"
"b2.c3","b2.c3",1.92315931826385,48.2,14,"pink","Fall",".C10","1","null","H1.sim.null"
"a1.b2","a1.b2",2.05469068358625,46.27,13,"black","Fall",".C10","1","null","H1.sim.null"
"d3.c1","d3.c1",2.43266635398311,44.22,12,"red","Fall",".C10","1","null","H1.sim.null"
"b1.c3","b1.c3",2.81657663047259,41.79,11,"pink","Fall",".C10","1","null","H1.sim.null"
"a1.b1","a1.b1",3.01914512638008,38.97,10,"black","Fall",".C10","1","null","H1.sim.null"
"b2.e2","b2.e2",3.20351413442702,35.95,9,"green","Fall",".C10","1","null","H1.sim.null"
"d3.f3","d3.f3",3.32474318148653,32.75,8,"red","Fall",".C10","1","null","H1.sim.null"
"d3.c3","d3.c3",3.54293206079682,29.42,7,"red","Fall",".C10","1","null","H1.sim.null"
"e2.f2","e2.f2",3.54998519665372,25.88,6,"green","Fall",".C10","1","null","H1.sim.null"
"a1.a1","a1.a1",3.8742093489737,22.33,5,"black","Fall",".C10","1","null","H1.sim.null"
"d3.f2","d3.f2",3.9266331334652,18.46,4,"red","Fall",".C10","1","null","H1.sim.null"
"f3.g3","f3.g3",4.54195525905132,14.53,3,"green","Fall",".C10","1","null","H1.sim.null"
